         1066820 function calls (925954 primitive calls) in 1.375 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1000    0.352    0.000    0.352    0.000 sorts.py:11(insertionsort)
34192/1000    0.347    0.000    0.386    0.000 sorts.py:32(quicksort_inplace)
34176/1000    0.139    0.000    0.211    0.000 sorts.py:23(quicksort)
69368/3000    0.070    0.000    0.953    0.000 line_profiler.py:118(wrapper)
    78685    0.040    0.000    0.092    0.000 random.py:174(randrange)
    78685    0.036    0.000    0.052    0.000 random.py:224(_randbelow)
      508    0.035    0.000    0.035    0.000 {built-in method marshal.loads}
    78685    0.019    0.000    0.112    0.000 random.py:218(randint)
1515/1511    0.018    0.000    0.080    0.000 {built-in method builtins.__build_class__}
     2332    0.017    0.000    0.017    0.000 {built-in method posix.stat}
     3000    0.017    0.000    0.123    0.000 sorts.py:7(<listcomp>)
    16588    0.016    0.000    0.016    0.000 sorts.py:29(<listcomp>)
    16588    0.016    0.000    0.016    0.000 sorts.py:28(<listcomp>)
      508    0.013    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:914(get_data)
       32    0.011    0.000    0.011    0.000 {built-in method _imp.create_dynamic}
    99704    0.011    0.000    0.011    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.007    0.007    0.007    0.007 instance.py:90(AbstractInstanceValue)
      931    0.006    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
82792/82090    0.006    0.000    0.006    0.000 {built-in method builtins.len}
    78721    0.005    0.000    0.005    0.000 {method 'bit_length' of 'int' objects}
        3    0.005    0.002    1.089    0.363 sorts.py:5(test_sorted)
    69368    0.005    0.000    0.005    0.000 {method 'disable_by_count' of 'line_profiler._line_profiler.LineProfiler' objects}
    69368    0.005    0.000    0.005    0.000 {method 'enable_by_count' of 'line_profiler._line_profiler.LineProfiler' objects}
      838    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x10cda7ab0}
      155    0.004    0.000    0.004    0.000 {built-in method builtins.compile}
  360/130    0.004    0.000    0.011    0.000 sre_parse.py:469(_parse)
      508    0.004    0.000    0.004    0.000 {method 'read' of '_io.FileIO' objects}
      508    0.004    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:793(get_code)
       34    0.003    0.000    0.007    0.000 enum.py:135(__new__)
        1    0.003    0.003    0.003    0.003 {method 'read' of '_io.TextIOWrapper' objects}
      132    0.003    0.000    0.003    0.000 {built-in method posix.getcwd}
     5102    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      558    0.003    0.000    0.045    0.000 <frozen importlib._bootstrap>:882(_find_spec)
    23729    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
7545/7477    0.003    0.000    0.007    0.000 {built-in method builtins.hasattr}
     5102    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
    660/1    0.003    0.000    1.376    1.376 {built-in method builtins.exec}
     6173    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
       64    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
    572/1    0.002    0.000    0.287    0.287 <frozen importlib._bootstrap>:978(_find_and_load)
     1016    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
  662/115    0.002    0.000    0.005    0.000 sre_compile.py:71(_compile)
     3018    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
